DATE,sp500,ret_1m,ret_1m_next,firstdiff_1m,vol_3m,vol_6m,ret_1m_z,ret_1m_next_z,vol_3m_z,vol_6m_z,ret_high_negative,ret_negative,ret_flat,ret_positive,ret_high_positive,ret_regime,category_sum
2018-03-31,2640.87,-0.026884513768364315,0.002718801001185378,-72.96000000000004,0.05179123159016868,0.03563466146234439,-0.8429102501579391,-0.17964229802365425,0.45518692453697285,-0.2762680861040605,0,1,0,0,0,-1.0,1
2018-04-30,2648.05,0.002718801001185378,0.02160835331659139,7.180000000000291,0.02143960347796353,0.03500985899644555,-0.17964229802365425,0.24358174896246523,-0.649012320037285,-0.3058190136868531,0,0,0,1,0,0.0,1
2018-05-31,2705.27,0.02160835331659139,0.004842400204046138,57.2199999999998,0.02444289123017395,0.03425379007407294,0.24358174896246523,-0.13206265008894827,-0.5397520175925431,-0.3415783763527654,0,0,0,1,0,1.0,1
2018-06-30,2718.37,0.004842400204046138,0.03602158646541875,13.099999999999909,0.010347479918825042,0.03414675580686194,-0.13206265008894827,0.5665130054341248,-1.052546338359019,-0.3466407153348617,0,0,0,1,0,0.0,1
2018-07-31,2816.29,0.03602158646541875,0.030263218631604083,97.92000000000007,0.015604380418629767,0.028407475686804278,0.5665130054341248,0.43749566833852316,-0.8612990833772602,-0.6180881894756637,0,0,0,1,0,1.0,1
2018-08-31,2901.52,0.030263218631604083,0.0042943009181395375,85.23000000000002,0.016590752773547057,0.023023112440934888,0.43749566833852316,-0.1443429198411543,-0.8254146291680106,-0.8727493616738821,0,0,0,1,0,1.0,1
2018-09-30,2913.98,0.0042943009181395375,-0.06940335897981464,12.460000000000036,0.016902485692528602,0.014637763164681237,-0.1443429198411543,-1.795553142011441,-0.8140737135381853,-1.269346466748549,0,0,0,1,0,0.0,1
2018-10-31,2711.74,-0.06940335897981464,0.01785938179914015,-202.24000000000024,0.05170292779333387,0.038501558934972,-1.795553142011441,0.15958532219922444,0.451974412002305,-0.14067406363324317,1,0,0,0,0,-2.0,1
2018-11-30,2760.17,0.01785938179914015,-0.09177695576721734,48.43000000000029,0.046957680277028305,0.038199654389289246,0.15958532219922444,-2.2968378744334697,0.2793412107963551,-0.15495307156505791,0,0,0,1,0,1.0,1
2018-12-31,2506.85,-0.09177695576721734,0.07868440473103688,-253.32000000000016,0.05793026019336329,0.05460541349606251,-2.2968378744334697,1.5223816412133921,0.6785262037679727,0.6209808047642474,1,0,0,0,0,-2.0,1
